,bedrooms,bathrooms,guests,revenue,openness,hot_tub,pool,city_encoded,host_type Encoded,ID Encoded,Cluster
45620,4,3.0,11,5418.0,31,0.0,0.0,1,1,3954,4
45621,4,3.0,11,5418.0,31,0.0,0.0,1,1,3954,4
45652,4,2.0,9,5414.0,30,0.0,0.0,1,1,2941,4
45687,4,2.0,8,5410.0,31,0.0,0.0,1,1,4525,4
45710,4,2.0,9,5405.0,31,0.0,0.0,1,1,2204,4
45711,4,2.5,10,5405.0,31,0.0,0.0,1,1,3884,4
45869,4,3.0,10,5388.0,31,0.0,0.0,1,1,3715,4
45903,4,2.0,10,5382.0,31,0.0,0.0,1,1,3022,4
45980,4,3.0,10,5372.0,31,0.0,0.0,1,1,4958,4
46058,4,3.0,11,5359.0,31,0.0,0.0,1,1,4948,4
46147,4,2.0,8,5347.0,31,0.0,0.0,1,1,4525,4
46260,4,3.0,12,5328.0,31,0.0,0.0,1,1,3320,4
46286,4,2.5,8,5325.0,31,0.0,0.0,1,1,4430,4
46297,4,3.0,10,5324.0,31,0.0,0.0,1,1,2990,4
46319,4,2.5,12,5321.0,30,0.0,0.0,1,1,3543,4
46433,4,3.0,10,5304.0,30,0.0,0.0,1,1,2606,4
46472,4,2.0,10,5300.0,31,0.0,0.0,1,1,3022,4
46496,4,2.5,8,5297.0,30,0.0,0.0,1,1,2692,4
46599,4,3.0,10,5282.0,30,0.0,0.0,1,1,3054,4
46633,4,2.5,10,5278.0,29,0.0,0.0,1,1,3884,4
46674,4,2.0,9,5273.0,30,0.0,0.0,1,1,2989,4
46693,4,2.0,9,5270.0,30,0.0,0.0,1,1,2941,4
46704,4,2.0,11,5268.0,31,0.0,0.0,1,1,3009,4
46769,4,2.5,12,5258.0,30,0.0,0.0,1,1,1650,4
46792,4,3.0,10,5254.0,31,0.0,0.0,1,1,4958,4
46836,4,2.0,10,5250.0,31,0.0,0.0,1,1,1721,4
47002,4,2.0,9,5232.0,31,0.0,0.0,1,1,4110,4
47025,4,2.5,12,5226.0,30,0.0,0.0,1,1,1650,4
47103,4,3.0,9,5215.0,31,0.0,0.0,1,1,1927,4
47229,4,2.0,8,5200.0,30,0.0,0.0,1,1,4525,4
47232,4,2.0,9,5200.0,30,0.0,0.0,1,1,5241,4
47273,4,2.5,10,5193.0,31,0.0,0.0,1,1,3008,4
47283,4,2.5,10,5191.0,27,0.0,0.0,1,1,3008,4
47336,4,3.0,10,5185.0,31,0.0,0.0,1,1,1678,4
47510,4,3.0,11,5162.0,31,0.0,0.0,1,1,4690,4
47568,4,2.0,8,5153.0,31,0.0,0.0,1,1,3048,4
47574,4,2.0,9,5152.0,30,0.0,0.0,1,1,3201,4
47708,4,3.0,10,5135.0,31,0.0,0.0,1,1,3303,4
47793,4,2.0,8,5123.0,30,0.0,0.0,1,1,4525,4
47816,4,3.0,10,5120.0,31,0.0,0.0,1,1,2083,4
47871,4,2.0,7,5110.0,30,0.0,0.0,1,1,2897,4
48028,4,3.0,10,5091.0,30,0.0,0.0,1,1,2990,4
48169,4,3.0,10,5075.0,30,0.0,0.0,1,1,5252,4
48176,4,3.0,10,5074.0,31,0.0,0.0,1,1,3715,4
48192,4,3.0,10,5072.0,31,0.0,0.0,1,1,2990,4
48225,4,2.0,8,5069.0,31,0.0,0.0,1,1,2934,4
48240,4,2.0,9,5066.0,31,0.0,0.0,1,1,3201,4
48471,4,2.0,9,5032.0,31,0.0,0.0,1,1,2697,4
48510,4,2.0,10,5027.0,31,0.0,0.0,1,1,2597,4
48524,4,2.0,8,5025.0,29,0.0,0.0,1,1,2053,4
48527,4,2.0,10,5025.0,30,0.0,0.0,1,1,2597,4
48536,4,2.0,8,5024.0,31,0.0,0.0,1,1,2053,4
48558,4,3.0,12,5022.0,31,0.0,0.0,1,1,3320,4
48624,4,2.0,8,5011.0,30,0.0,0.0,1,1,2934,4
48650,4,2.5,12,5004.0,30,0.0,0.0,1,1,3963,4
48753,4,2.0,9,4995.0,31,0.0,0.0,1,1,2941,4
48826,4,3.0,12,4986.0,30,0.0,0.0,1,1,3320,4
48859,4,2.0,7,4981.0,30,0.0,0.0,1,1,3267,4
48962,4,3.0,9,4967.0,31,0.0,0.0,1,1,1927,4
48979,4,2.0,9,4965.0,30,0.0,0.0,1,1,2941,4
49041,4,3.0,10,4956.0,31,0.0,0.0,1,1,5385,4
49063,4,3.0,10,4951.0,30,0.0,0.0,1,1,5036,4
49117,4,2.0,9,4948.0,31,0.0,0.0,1,1,1900,4
49147,4,3.0,10,4944.0,30,0.0,0.0,1,1,3715,4
49237,4,3.0,8,4933.0,31,0.0,0.0,1,1,4628,4
49251,4,2.5,12,4931.0,30,0.0,0.0,1,1,3543,4
49420,4,3.0,12,4908.0,31,0.0,0.0,1,1,3515,4
49453,4,2.0,7,4903.0,31,0.0,0.0,1,1,3014,4
49463,4,2.0,10,4901.0,31,0.0,0.0,1,1,3072,4
